timestamp,value,anomaly_score,sustained_anomaly,temp_mean_c,temp_max_c,temp_min_c,temp_std_c,temp_excess,temp_deficit,violation,violation_count,time_above_threshold,temp_recovery_rate,humidity_mean,door_open_count,fill_ratio,vibration_index,rf_risk,rf_probability,final_risk
1704067200,5.024835707650562,9.132922e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,85,0,0.6,0,0,0.38333333333333336,NO
1704067500,5.017922492592002,9.12959e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.006913215058559352,85,0,0.6,0,0,0.38333333333333336,NO
1704067800,5.050306919497037,9.010028e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0323844269050344,85,0,0.6,0,0,0.37833333333333335,NO
1704068100,5.126458412317438,8.8228335e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.07615149282040168,85,0,0.6,0,0,0.37666666666666665,NO
1704068400,5.114750743581272,8.710796e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.011707668736166355,85,0,0.6,0,0,0.38333333333333336,NO
1704068700,5.103043895733813,8.686393e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.011706847847459123,85,0,0.6,0,0,0.38333333333333336,NO
1704069000,5.182004536509183,8.769427e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.07896064077537002,85,0,0.6,0,0,0.37666666666666665,NO
1704069300,5.220376272966829,8.889781e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.03837173645764569,85,0,0.6,0,0,0.38,NO
1704069600,5.196902553670081,8.929614e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.023473719296747575,85,0,0.6,0,0,0.38333333333333336,NO
1704069900,5.224030555849379,8.948985e-06,0,5.12606320903676,5.224030555849379,5.017922492592002,0.07815842442472232,0.0,0.0,0,0.0,0.0,0.027128002179297894,85,0,0.6,0,0,0.265,NO
1704070200,5.200859671208756,8.898459e-06,0,5.143665605392579,5.224030555849379,5.017922492592002,0.07243979409664275,0.0,0.0,0,0.0,0.0,-0.023170884640623335,85,0,0.6,0,0,0.2833333333333333,NO
1704070500,5.177573183530242,8.852766e-06,0,5.159630674486403,5.224030555849379,5.050306919497037,0.057751645523024454,0.0,0.0,0,0.0,0.0,-0.023286487678513268,85,0,0.6,0,0,0.2833333333333333,NO
1704070800,5.189671297108544,8.852701e-06,0,5.173567112247554,5.224030555849379,5.103043895733813,0.043494298059758955,0.0,0.0,0,0.0,0.0,0.012098113578301373,85,0,0.6,0,0,0.2633333333333333,NO
1704071100,5.094007284875654,8.823761e-06,0,5.170321999503375,5.224030555849379,5.094007284875654,0.04834024620508816,0.0,0.0,0,0.0,0.0,-0.09566401223288956,85,0,0.6,0,0,0.285,NO
1704071400,5.007761393250003,8.829888e-06,0,5.1596230644702485,5.224030555849379,5.007761393250003,0.0693013778448806,0.0,0.0,0,0.0,0.0,-0.08624589162565144,85,0,0.6,0,0,0.2833333333333333,NO
