measurement_time,temperature
28-01-2021 18:51,-49.77814449
28-01-2021 18:56,-48.55626154
28-01-2021 19:01,-50.22223746
28-01-2021 19:06,-50.5848556
28-01-2021 19:11,-52.39790497
28-01-2021 19:16,-50.03278654
28-01-2021 19:21,-50.14354741
28-01-2021 19:26,-49.60247718
28-01-2021 19:31,-49.95509703
28-01-2021 19:36,-49.33559894
28-01-2021 19:41,-49.72595803
28-01-2021 19:46,-50.03674052
28-01-2021 19:51,-49.44202914
28-01-2021 19:56,-49.33095082
28-01-2021 20:01,-49.31831681
28-01-2021 20:06,-48.92925234
28-01-2021 20:11,-50.40070915
28-01-2021 20:16,-49.43183182
28-01-2021 20:21,-49.3210433
28-01-2021 20:26,-50.18976092
28-01-2021 20:31,-49.04391263
28-01-2021 20:36,-49.91714186
28-01-2021 20:41,-50.07784292
28-01-2021 20:46,-51.40811461
28-01-2021 20:51,-49.71620519
28-01-2021 20:56,-51.94849357
28-01-2021 21:01,-49.65098684
28-01-2021 21:06,-49.44848382
28-01-2021 21:11,-50.22467891
28-01-2021 21:16,-49.11660302
28-01-2021 21:21,-51.0059493
28-01-2021 21:26,-51.40142147
28-01-2021 21:31,-48.96055628
28-01-2021 21:36,-51.40752809
28-01-2021 21:41,-49.16671155
28-01-2021 21:46,-48.90619068
28-01-2021 21:51,-51.41842908
28-01-2021 21:56,-50.01970368
28-01-2021 22:01,-51.68671851
28-01-2021 22:06,-48.5789184
28-01-2021 22:11,-49.26676952
28-01-2021 22:16,-49.16902779
28-01-2021 22:21,-52.18097204
28-01-2021 22:26,-49.97654965
28-01-2021 22:31,-50.85898136
28-01-2021 22:36,-50.32635961
28-01-2021 22:41,-51.34063193
28-01-2021 22:46,-50.7569546
28-01-2021 22:51,-49.40375005
28-01-2021 22:56,-50.84222227
28-01-2021 23:01,-49.0028757
28-01-2021 23:06,-50.77970401
28-01-2021 23:11,-49.12921038
28-01-2021 23:16,-49.86995095
28-01-2021 23:21,-50.54998388
28-01-2021 23:26,-49.64593427
28-01-2021 23:31,-49.58513346
28-01-2021 23:36,-49.71355778
28-01-2021 23:41,-47.29265618
28-01-2021 23:46,-50.21795505
28-01-2021 23:51,-51.63039657
