timestamp,value,anomaly_score
28-01-2021 18:51,0.22185551,1.19E-05
28-01-2021 18:56,1.44373846,1.52E-05
28-01-2021 19:01,-0.22223746,9.93E-06
28-01-2021 19:06,-0.5848556,9.27E-06
28-01-2021 19:11,-2.39790497,8.25E-06
28-01-2021 19:16,-0.03278654,9.34E-06
28-01-2021 19:21,-0.14354741,9.08E-06
28-01-2021 19:26,0.39752282,9.49E-06
28-01-2021 19:31,0.04490297,9.03E-06
28-01-2021 19:36,0.66440106,9.66E-06
28-01-2021 19:41,0.27404197,9.17E-06
28-01-2021 19:46,-0.03674052,8.86E-06
28-01-2021 19:51,0.55797086,9.47E-06
28-01-2021 19:56,0.66904918,9.56E-06
28-01-2021 20:01,0.68168319,9.47E-06
28-01-2021 20:06,1.07074766,9.96E-06
28-01-2021 20:11,-0.40070915,8.31E-06
28-01-2021 20:16,0.56816818,9.09E-06
28-01-2021 20:21,0.6789567,9.20E-06
28-01-2021 20:26,-0.18976092,8.38E-06
28-01-2021 20:31,0.95608737,9.53E-06
28-01-2021 20:36,0.08285814,8.51E-06
28-01-2021 20:41,-0.07784292,8.34E-06
28-01-2021 20:46,-1.40811461,7.68E-06
28-01-2021 20:51,0.28379481,8.51E-06
28-01-2021 20:56,-1.94849357,7.50E-06
28-01-2021 21:01,0.34901316,8.48E-06
28-01-2021 21:06,0.55151618,8.63E-06
28-01-2021 21:11,-0.22467891,8.03E-06
28-01-2021 21:16,0.88339698,8.92E-06
28-01-2021 21:21,-1.0059493,7.65E-06
28-01-2021 21:26,-1.40142147,7.51E-06
28-01-2021 21:31,1.03944372,9.02E-06
28-01-2021 21:36,-1.40752809,7.47E-06
28-01-2021 21:41,0.83328845,8.70E-06
28-01-2021 21:46,1.09380932,8.98E-06
28-01-2021 21:51,-1.41842908,7.41E-06
28-01-2021 21:56,-0.01970368,7.93E-06
28-01-2021 22:01,-1.68671851,7.33E-06
28-01-2021 22:06,1.4210816,9.35E-06
28-01-2021 22:11,0.73323048,8.45E-06
28-01-2021 22:16,0.83097221,8.53E-06
28-01-2021 22:21,-2.18097204,7.23E-06
28-01-2021 22:26,0.02345035,7.88E-06
28-01-2021 22:31,-0.85898136,7.49E-06
28-01-2021 22:36,-0.32635961,7.68E-06
28-01-2021 22:41,-1.34063193,7.35E-06
28-01-2021 22:46,-0.7569546,7.50E-06
28-01-2021 22:51,0.59624995,8.20E-06
28-01-2021 22:56,-0.84222227,7.47E-06
28-01-2021 23:01,0.9971243,8.54E-06
28-01-2021 23:06,-0.77970401,7.47E-06
28-01-2021 23:11,0.87078962,8.37E-06
28-01-2021 23:16,0.13004905,7.82E-06
28-01-2021 23:21,-0.54998388,7.51E-06
28-01-2021 23:26,0.35406573,7.91E-06
28-01-2021 23:31,0.41486654,7.94E-06
28-01-2021 23:36,0.28644222,7.85E-06
28-01-2021 23:41,2.70734382,1.23E-05
28-01-2021 23:46,-0.21795505,7.60E-06
28-01-2021 23:51,-1.63039657,7.22E-06
28-01-2021 23:56,1.0511208,8.46E-06
29-01-2021 00:01,-0.28636213,7.60E-06
29-01-2021 00:06,-1.10524544,7.35E-06
29-01-2021 00:11,0.24981453,7.85E-06
29-01-2021 00:16,-0.33014759,7.58E-06
29-01-2021 00:21,1.59434467,9.12E-06
29-01-2021 00:26,-0.68051496,7.45E-06
29-01-2021 00:31,0.11441548,7.77E-06
29-01-2021 00:36,0.998756,8.39E-06
29-01-2021 00:41,1.12462783,8.53E-06
29-01-2021 00:46,0.01630225,7.73E-06
29-01-2021 00:51,0.14939138,7.79E-06
29-01-2021 00:56,0.30919784,7.89E-06
29-01-2021 01:01,-0.08590434,7.68E-06
29-01-2021 01:06,-1.35260807,7.29E-06
29-01-2021 01:11,-0.95795382,7.38E-06
29-01-2021 01:16,1.03992913,8.46E-06
29-01-2021 01:21,-1.11998814,7.34E-06
29-01-2021 01:26,-0.6624797,7.47E-06
29-01-2021 01:31,1.75718741,9.49E-06
29-01-2021 01:36,1.17731845,8.63E-06
29-01-2021 01:41,-0.58452377,7.49E-06
29-01-2021 01:46,-1.32930436,7.29E-06
29-01-2021 01:51,0.38722213,7.94E-06
29-01-2021 01:56,0.76754125,8.22E-06
29-01-2021 02:01,-0.29769702,7.59E-06
29-01-2021 02:06,0.63244458,8.11E-06
29-01-2021 02:11,-0.78330317,7.42E-06
29-01-2021 02:16,0.33388972,7.91E-06
29-01-2021 02:21,-0.45524072,7.53E-06
29-01-2021 02:26,-0.31032672,7.58E-06
29-01-2021 02:31,-1.32782338,7.28E-06
29-01-2021 02:36,0.92255431,8.33E-06
29-01-2021 02:41,-1.69040867,7.21E-06
29-01-2021 02:46,-0.20183309,7.61E-06
29-01-2021 02:51,0.66945567,8.09E-06
29-01-2021 02:56,0.60244873,8.04E-06
29-01-2021 03:01,0.86144193,8.24E-06
29-01-2021 03:06,2.0052165,9.83E-06
29-01-2021 03:11,0.21211889,7.79E-06
29-01-2021 03:16,-1.28489707,7.28E-06
29-01-2021 03:21,0.36161667,7.88E-06
29-01-2021 03:26,-0.36479182,7.54E-06
29-01-2021 03:31,-1.42191832,7.25E-06
29-01-2021 03:36,0.40941236,7.91E-06
29-01-2021 03:41,1.17024131,8.55E-06
29-01-2021 03:46,-1.36568435,7.26E-06
29-01-2021 03:51,2.457463,1.12E-05
29-01-2021 03:56,-1.04052588,7.33E-06
29-01-2021 04:01,1.22328148,8.62E-06
29-01-2021 04:06,-0.13615516,7.64E-06
29-01-2021 04:11,-0.28367682,7.57E-06
